"";"***********************************";"";"";"";"";"";"";"***********";
"";"Num. transazioni ricarica SMaC:";"";"";"";"";"";"";"3938";
"";"Num. transazioni pagamento SMaC:";"";"";"";"";"";"";"5";
"";"Num. transazioni fisco:";"";"";"";"";"";"";"36";
"";"Num. transazioni totale:";"";"";"";"";"";"";"3979";
"";"***********************************";"";"";"";"";"";"";"***********";
"";"Totale transato ricarica SMaC:";"";"";"";"";"";"";" 216.911,26";
"";"Totale transato pagamento SMaC:";"";"";"";"";"";"";" 54,10";
"";"Totale transato pagamento SMaC (netto sconto):";"";"";"";"";"";"";" 54,10";
"";"Totale transato fisco:";"";"";"";"";"";"";" 1.064,34";
"";"Totale transato:";"";"";"";"";"";"";" 218.029,70";
"";"***********************************";"";"";"";"";"";"";"***********";
"";"Totale sconti ricarica SMaC:";"";"";"";"";"";"";" 27.477,77";
"";"Totale sconti pagamento SMaC:";"";"";"";"";"";"";" 0,00";
"";"Totale sconti:";"";"";"";"";"";"";" 27.477,77";
"";"***********************************";"";"";"";"";"";"";"***********";
"";"DEMATERIALIZZATE";"";"";"";"";"";"";"***********";
"";"Num. transazioni ricarica:";"";"";"";"";"";"";"833";
"";"Num. transazioni pagamento:";"";"";"";"";"";"";"1";
"";"Num. transazioni fisco:";"";"";"";"";"";"";"1";
"";"Num. transazioni totale:";"";"";"";"";"";"";"835";
"";"Totale transato ricarica:";"";"";"";"";"";"";" 46.180,19";
"";"Totale transato pagamento:";"";"";"";"";"";"";" 30,00";
"";"Totale transato fisco:";"";"";"";"";"";"";" 13,80";
"";"Totale transato:";"";"";"";"";"";"";" 46.223,99";
"";"***********************************";"";"";"";"";"";"";"***********";
"";"Parametri ricerca";"";"";"";"";"";"";"***********";
"";"Periodo: dal 01/04/2026 al 30/04/2026 - Data pagamento -";"";"";"";"";"";"";"***********";
