"";"***********************************";"";"";"";"";"";"";"***********";
"";"Num. transazioni ricarica SMaC:";"";"";"";"";"";"";"1026";
"";"Num. transazioni pagamento SMaC:";"";"";"";"";"";"";"2";
"";"Num. transazioni fisco:";"";"";"";"";"";"";"61";
"";"Num. transazioni totale:";"";"";"";"";"";"";"1089";
"";"***********************************";"";"";"";"";"";"";"***********";
"";"Totale transato ricarica SMaC:";"";"";"";"";"";"";" 42.565,71";
"";"Totale transato pagamento SMaC:";"";"";"";"";"";"";" 12,50";
"";"Totale transato pagamento SMaC (netto sconto):";"";"";"";"";"";"";" 12,50";
"";"Totale transato fisco:";"";"";"";"";"";"";" 1.812,00";
"";"Totale transato:";"";"";"";"";"";"";" 44.390,21";
"";"***********************************";"";"";"";"";"";"";"***********";
"";"Totale sconti ricarica SMaC:";"";"";"";"";"";"";" 4.102,84";
"";"Totale sconti pagamento SMaC:";"";"";"";"";"";"";" 0,00";
"";"Totale sconti:";"";"";"";"";"";"";" 4.102,84";
"";"***********************************";"";"";"";"";"";"";"***********";
"";"DEMATERIALIZZATE";"";"";"";"";"";"";"***********";
"";"Num. transazioni ricarica:";"";"";"";"";"";"";"143";
"";"Num. transazioni pagamento:";"";"";"";"";"";"";"0";
"";"Num. transazioni fisco:";"";"";"";"";"";"";"1";
"";"Num. transazioni totale:";"";"";"";"";"";"";"144";
"";"Totale transato ricarica:";"";"";"";"";"";"";" 5.639,57";
"";"Totale transato pagamento:";"";"";"";"";"";"";" 0,00";
"";"Totale transato fisco:";"";"";"";"";"";"";" 28,00";
"";"Totale transato:";"";"";"";"";"";"";" 5.667,57";
"";"***********************************";"";"";"";"";"";"";"***********";
"";"Parametri ricerca";"";"";"";"";"";"";"***********";
"";"Periodo: dal 01/02/2026 al 28/02/2026 - Data pagamento -";"";"";"";"";"";"";"***********";
