"";"***********************************";"";"";"";"";"";"";"***********";
"";"Num. transazioni ricarica SMaC:";"";"";"";"";"";"";"3569";
"";"Num. transazioni pagamento SMaC:";"";"";"";"";"";"";"3";
"";"Num. transazioni fisco:";"";"";"";"";"";"";"64";
"";"Num. transazioni totale:";"";"";"";"";"";"";"3636";
"";"***********************************";"";"";"";"";"";"";"***********";
"";"Totale transato ricarica SMaC:";"";"";"";"";"";"";" 192.792,34";
"";"Totale transato pagamento SMaC:";"";"";"";"";"";"";" 69,00";
"";"Totale transato pagamento SMaC (netto sconto):";"";"";"";"";"";"";" 69,00";
"";"Totale transato fisco:";"";"";"";"";"";"";" 2.061,90";
"";"Totale transato:";"";"";"";"";"";"";" 194.923,24";
"";"***********************************";"";"";"";"";"";"";"***********";
"";"Totale sconti ricarica SMaC:";"";"";"";"";"";"";" 21.864,49";
"";"Totale sconti pagamento SMaC:";"";"";"";"";"";"";" 0,00";
"";"Totale sconti:";"";"";"";"";"";"";" 21.864,49";
"";"***********************************";"";"";"";"";"";"";"***********";
"";"DEMATERIALIZZATE";"";"";"";"";"";"";"***********";
"";"Num. transazioni ricarica:";"";"";"";"";"";"";"966";
"";"Num. transazioni pagamento:";"";"";"";"";"";"";"2";
"";"Num. transazioni fisco:";"";"";"";"";"";"";"1";
"";"Num. transazioni totale:";"";"";"";"";"";"";"969";
"";"Totale transato ricarica:";"";"";"";"";"";"";" 52.587,04";
"";"Totale transato pagamento:";"";"";"";"";"";"";" 53,00";
"";"Totale transato fisco:";"";"";"";"";"";"";" 12,90";
"";"Totale transato:";"";"";"";"";"";"";" 52.652,94";
"";"***********************************";"";"";"";"";"";"";"***********";
"";"Parametri ricerca";"";"";"";"";"";"";"***********";
"";"Periodo: dal 01/03/2026 al 31/03/2026 - Data pagamento -";"";"";"";"";"";"";"***********";
