Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Eni Live Station],Price [Eni Live Station],In stock [Eni Live Station],Low stock [Eni Live Station],"Modifier - ""Aggiunta""","Modifier - ""Ritiro e Consegna Concessionarie""","Modifier - ""Ritiro e Consegna PRIVATI"""
ACQUA DEMINERALIZZATA 1LT,10053,ACQUA DEMINERALIZZATA 1LT,Accessori,<p>ACQUA DEMINERALIZZATA 1LT</p>,N,,,,,,,0.50,8006786000571,,,Y,Y,3.00,2.000,3.000,N,N,N
ACQUA DEMINERALIZZATA 5L,10073,ACQUA DEMINERALIZZATA 5L,Accessori,ACQUA DEMINERALIZZATA 5L,N,,,,,,,0.00,8006786017951,,,Y,Y,5.00,-1.000,3.000,N,N,N
"acqua-norda-1,5lt",10509,"Acqua Norda 1,5lt",Bar,,N,,,,,,,0.00,8007500200031,,,N,Y,1.50,,,N,N,N
coppia-coprisedile-tag.1-fast&smart-nero|dubai-antracite,10544,Actualfit Tappetino moquette taglia 1,Accessori,,N,,,,,,,16.85,8010718350610,,,Y,Y,34.00,-1.000,,N,N,N
actualfit-tappetino-moquette-taglia-2,10543,Actualfit Tappetino moquette taglia 2,Accessori,,N,,,,,,,16.85,8010718350627,,,Y,Y,34.00,1.000,,N,N,N
actualfit-tappetino-moquette-taglia-3,10545,Actualfit Tappetino moquette taglia 3,Accessori,,N,,,,,,,16.85,8010718350634,,,Y,Y,34.00,-1.000,,N,N,N
actualfit-tappetino-moquette-taglia-4,10546,Actualfit Tappetino moquette taglia 4,Accessori,,N,,,,,,,16.85,8010718350641,,,Y,Y,34.00,1.000,,N,N,N
adblue,10430,ADBLUE,ADBLU SFUSO,,N,,,,,,,0.60,,,,N,Y,1.20,,,N,N,N
DIESEL ADBLUE ADDITTIVO 250ML ,10020,ADBLUE ADDITIVO 250ML,Accessori,DIESEL ADBLUE ADDITIVO 250ML ,N,,,,,,,0.00,8054309080821,,,Y,Y,10.00,5.000,3.000,N,N,N
ADDITIVO BENZINA 300ML PULITORE IGNEZIONE ,10019,ADDITIVO BENZINA,Accessori,ADDITIVO BENZINA 300ML PULITORE IGNEZIONE ,N,,,,,,,0.00,8054309080128,,,Y,Y,12.00,6.000,3.000,N,N,N
